hour,wind_power_undegraded_mw_hydesign,wind_power_year24_degraded_mw_hydesign,solar_power_undegraded_mw_hydesign,solar_power_year24_degraded_mw_hydesign,battery_power_mw_hydesign,curtailment_power_mw_hydesign,wind_power_undegraded_mw_h2integrate,wind_power_year24_degraded_mw_h2integrate,solar_power_undegraded_mw_h2integrate,solar_power_year24_degraded_mw_h2integrate,battery_power_mw_h2integrate,curtailment_power_mw_h2integrate,battery_source
0,295.5262090254743,249.3048894542001,0.0,0.0,3.4660786667234187,0.0,220.29393459035728,,0.0,,20.0,180.29393459035728,battery_net_power_kW
1,281.5521042135365,224.4010400668078,0.0,0.0,3.4660786667234187,0.0,220.29393459035728,,0.0,,20.0,180.29393459035728,battery_net_power_kW
2,285.32724137410395,229.693466893928,0.0,0.0,3.466078666723419,0.0,220.29393459035728,,0.0,,20.0,180.29393459035728,battery_net_power_kW
3,290.9529753529403,239.51713362891957,0.0,0.0,3.4660786667234187,0.0,220.29393459035728,,0.0,,20.0,199.0694447944389,battery_net_power_kW
4,293.18123085965726,243.6772042217609,0.0,0.0,3.4660786667234187,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
5,291.7336880053877,240.87996842450676,0.0,0.0,3.4660786667234187,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
6,289.23002095642016,236.50767424258615,0.0,0.0,3.46607866672342,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
7,286.1097306095384,231.0585758229027,0.0,0.0,3.46607866672342,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
8,287.5053872940697,233.49550259773065,0.0,0.0,3.46607866672342,0.0,220.29393459035728,,-0.0,,20.0,200.29393459035728,battery_net_power_kW
9,293.6470750315072,244.7938416206595,0.0,0.0,-1.554893163406632,0.0,220.29393459035728,,-0.0,,20.0,200.29393459035728,battery_net_power_kW
10,293.53265528405467,244.519053008766,0.0,0.0,-1.554893163406632,0.0,220.29393459035728,,1.3602738447166036,,20.0,201.65420843507388,battery_net_power_kW
11,299.25363447258195,260.6082951541767,1.4909104671475633,1.0889663521722943,-1.554893163406632,0.0,220.29393459035728,,2.974880730671946,,20.0,203.2688153210292,battery_net_power_kW
12,299.9748554751962,263.8717783363799,3.9266649081606047,2.868045462158299,-1.554893163406632,2.3466272199501645,220.29393459035728,,5.361345351099688,,20.0,205.6552799414569,battery_net_power_kW
13,299.9943537869229,263.97093318663434,4.078781528417541,2.9791469561078285,-1.554893163406632,2.518242151933805,220.29393459035728,,5.651551119127828,,20.0,205.9454857094851,battery_net_power_kW
14,299.9988865991318,263.99275453714085,1.5560065642747984,1.1365072241506995,-1.554893163406632,0.0,220.29393459035728,,3.224639985121161,,20.0,203.51857457547845,battery_net_power_kW
15,299.99595567475023,263.97846203438013,0.1113638630992278,0.0813400353017859,-1.554893163406632,0.0,220.29393459035728,,1.6793764722284195,,20.0,201.97331106258568,battery_net_power_kW
16,299.988116992767,263.9390042687435,0.0,0.0,-1.554893163406632,0.0,220.29393459035728,,-0.0,,20.0,200.29393459035728,battery_net_power_kW
17,299.99310852670266,263.96405425144394,0.0,0.0,0.0068914732973439,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
18,299.9970294019622,263.983224369906,0.0,0.0,0.0029705980377912,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
19,299.115414308294,260.0584321955615,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
20,223.2167298629105,163.0312635700771,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
21,256.3566909138345,194.61455747473136,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
22,273.3628960900935,213.60302117273284,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
23,291.9394932191101,241.23501633637693,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
24,271.4986704697225,211.14564039737863,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
25,267.2035421679648,206.25050432849068,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
26,277.2344600728486,218.70412509750264,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
27,284.0616170116635,227.70120251220857,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
28,289.17564031533044,236.40719045551867,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
29,285.9935441864461,230.84991420727107,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
30,273.1321600741028,213.2966646174694,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
31,274.5465256756498,215.1603490548613,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,0.0,,20.0,200.29393459035728,battery_net_power_kW
32,284.95785616484585,229.04045184986467,0.0,0.0,0.8845856917059791,0.0,220.29393459035728,,-0.0,,20.0,200.29393459035728,battery_net_power_kW
33,278.63583452435785,220.5490289726,2.0210550088692147,1.4761329547762476,-5.076672462720853,0.0,220.29393459035728,,3.2451863682771727,,20.0,203.53912095863444,battery_net_power_kW
34,261.93351238295213,200.5938900148131,11.03896650477879,8.06259881261774,-5.076672462720853,0.0,220.29393459035728,,16.331396441153352,,20.0,216.6253310315106,battery_net_power_kW
35,205.9176453691779,148.58609136527502,8.843367693076594,6.458975099462842,-5.076672462720854,0.0,198.56654348548656,,10.501362211444262,,20.0,189.06790569693084,battery_net_power_kW
