hour,wind_electricity_kW,wind_electricity_year24_degraded_kW,solar_electricity_kW,solar_electricity_year24_degraded_kW,battery_net_power_kW,battery_electricity_out_kW,battery_soc_fraction,curtailment_kW
0,220293.93459035727,,0.0,,20000.0,-0.0,0.495,180293.93459035727
1,220293.93459035727,,0.0,,20000.0,-4900.0,0.74,180293.93459035727
2,220293.93459035727,,0.0,,20000.0,-4900.0,0.985,180293.93459035727
3,220293.93459035727,,0.0,,20000.0,-300.0000000000003,1.0,199069.4447944389
4,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
5,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
6,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
7,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
8,220293.93459035727,,-0.0,,20000.0,-0.0,1.0,200293.93459035727
9,220293.93459035727,,-0.0,,20000.0,-0.0,1.0,200293.93459035727
10,220293.93459035727,,1360.2738447166037,,20000.0,-0.0,1.0,201654.20843507387
11,220293.93459035727,,2974.880730671946,,20000.0,-0.0,1.0,203268.81532102922
12,220293.93459035727,,5361.345351099688,,20000.0,-0.0,1.0,205655.27994145695
13,220293.93459035727,,5651.551119127828,,20000.0,-0.0,1.0,205945.4857094851
14,220293.93459035727,,3224.639985121161,,20000.0,-0.0,1.0,203518.57457547844
15,220293.93459035727,,1679.3764722284197,,20000.0,-0.0,1.0,201973.31106258568
16,220293.93459035727,,-0.0,,20000.0,-0.0,1.0,200293.93459035727
17,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
18,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
19,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
20,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
21,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
22,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
23,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
24,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
25,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
26,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
27,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
28,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
29,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
30,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
31,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
32,220293.93459035727,,-0.0,,20000.0,-0.0,1.0,200293.93459035727
33,220293.93459035727,,3245.1863682771727,,20000.0,-0.0,1.0,203539.12095863445
34,220293.93459035727,,16331.39644115335,,20000.0,-0.0,1.0,216625.3310315106
35,198566.54348548656,,10501.362211444262,,20000.0,-0.0,1.0,189067.90569693083
36,220293.93459035727,,21042.73550316518,,20000.0,-0.0,1.0,221336.67009352244
37,220293.93459035727,,60934.70726180208,,20000.0,-0.0,1.0,261228.64185215934
38,213862.34380867035,,93720.62107330946,,20000.0,-0.0,1.0,287582.9648819798
39,220293.93459035727,,122030.52973992877,,20000.0,-0.0,1.0,322324.464330286
40,219587.1596776045,,3594.295797672846,,20000.0,-0.0,1.0,203181.45547527735
41,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
42,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
43,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
