,WS_100,WD_100,WS_120,WD_120,temp_air_1,ghi,dni,dhi,Price
2012-01-01 00:00:00,4.8,56.1,5.74,56.2,269.15,0,0,0,6.860000001
2012-01-01 01:00:00,4.83,56.1,5.29,54.8,268.15,0,0,0,6.860000001
2012-01-01 02:00:00,4.81,28.8,5.24,29.6,268.15,0,0,0,6.850000001
2012-01-01 03:00:00,4.94,15.5,5.34,15.8,267.15,0,0,0,6.850000001
2012-01-01 04:00:00,4.25,18.6,4.52,18.6,267.15,0,0,0,6.860000001
2012-01-01 05:00:00,4.32,14.2,4.51,14.0,267.15,0,0,0,7.150000001
2012-01-01 06:00:00,4.3,20.9,4.48,20.6,267.15,0,0,0,7.150000001
2012-01-01 07:00:00,4.26,24.4,4.43,23.1,267.15,0,0,0,1e-09
2012-01-01 08:00:00,3.66,20.1,3.83,19.8,268.15,64,368,32,1e-09
2012-01-01 09:00:00,3.36,24.7,3.41,24.4,270.15,180,349,90,1e-09
2012-01-01 10:00:00,2.83,11.3,2.87,11.1,272.15,411,836,80,1e-09
2012-01-01 11:00:00,2.61,12.7,2.65,12.7,273.15,532,901,89,1e-09
2012-01-01 12:00:00,3.21,10.7,3.24,10.7,274.15,594,942,87,1e-09
2012-01-01 13:00:00,3.12,3.4,3.15,3.4,275.15,589,943,86,1e-09
2012-01-01 14:00:00,3.07,5.4,3.09,5.0,275.15,519,919,80,1e-09
2012-01-01 15:00:00,2.75,359.2,2.78,359.2,275.15,392,870,66,1e-09
2012-01-01 16:00:00,2.64,358.1,2.65,357.9,273.15,219,728,51,116.070000001
2012-01-01 17:00:00,2.81,18.9,2.76,15.5,272.15,41,345,21,74.350000001
2012-01-01 18:00:00,3.36,12.6,3.33,11.5,271.15,0,0,0,98.000000001
2012-01-01 19:00:00,4.94,13.5,4.79,13.7,270.15,0,0,0,79.550000001
2012-01-01 20:00:00,4.95,32.3,4.82,30.7,269.15,0,0,0,25.550000001
2012-01-01 21:00:00,4.86,47.3,4.71,44.6,269.15,0,0,0,25.070000001
2012-01-01 22:00:00,3.39,50.2,3.23,46.0,269.15,0,0,0,21.370000001
2012-01-01 23:00:00,2.32,67.4,2.39,58.7,268.15,0,0,0,1e-09
2012-01-02 00:00:00,1.44,94.3,1.44,82.8,268.15,0,0,0,1e-09
2012-01-02 01:00:00,0.44,128.9,0.35,107.7,268.15,0,0,0,1e-09
2012-01-02 02:00:00,1.84,123.1,1.88,126.7,268.15,0,0,0,0.010000001
2012-01-02 03:00:00,1.36,162.4,1.46,164.3,268.15,0,0,0,0.040000001
2012-01-02 04:00:00,2.1,206.4,2.25,205.3,268.15,0,0,0,6.9400000010000005
2012-01-02 05:00:00,2.74,222.5,2.79,221.8,268.15,0,0,0,26.440000001
2012-01-02 06:00:00,1.91,242.4,2.12,240.6,267.15,0,0,0,31.760000001
2012-01-02 07:00:00,1.87,268.8,2.03,261.7,268.15,0,0,0,26.470000001
2012-01-02 08:00:00,2.23,294.7,2.28,287.8,270.15,71,507,26,1e-09
2012-01-02 09:00:00,2.79,304.4,2.84,298.4,272.15,258,807,49,1e-09
2012-01-02 10:00:00,1.93,320.9,2.03,319.9,274.15,330,515,126,1e-09
2012-01-02 11:00:00,2.21,322.9,2.23,322.8,276.15,547,973,69,1e-09
2012-01-02 12:00:00,2.15,341.9,2.17,341.7,277.15,607,989,74,1e-09
2012-01-02 13:00:00,1.61,346.6,1.62,346.6,277.15,601,984,74,1e-09
2012-01-02 14:00:00,1.91,355.1,1.92,355.4,277.15,529,954,71,1e-09
2012-01-02 15:00:00,2.57,7.9,2.59,7.6,276.15,399,887,64,1e-09
2012-01-02 16:00:00,3.12,21.1,3.17,21.5,274.15,224,740,51,66.37000000100001
2012-01-02 17:00:00,4.4,26.2,4.5,27.0,271.15,42,350,22,41.800000000999994
2012-01-02 18:00:00,7.03,34.6,7.26,35.0,270.15,0,0,0,48.570000001
2012-01-02 19:00:00,9.67,44.6,9.8,44.7,270.15,0,0,0,52.270000001
2012-01-02 20:00:00,10.01,54.6,10.63,55.9,270.15,0,0,0,38.490000001
2012-01-02 21:00:00,7.48,58.5,8.67,59.0,269.15,0,0,0,38.140000001
2012-01-02 22:00:00,8.65,64.9,9.47,66.7,269.15,0,0,0,35.960000001
2012-01-02 23:00:00,7.77,65.2,8.7,66.3,269.15,0,0,0,33.320000001
2012-01-03 00:00:00,8.4,68.7,9.15,71.0,268.15,0,0,0,29.560000001
2012-01-03 01:00:00,8.1,71.0,8.63,72.4,268.15,0,0,0,27.850000001
2012-01-03 02:00:00,7.62,70.9,8.0,72.7,268.15,0,0,0,27.060000001
2012-01-03 03:00:00,6.78,63.2,7.38,65.5,268.15,0,0,0,27.110000001
2012-01-03 04:00:00,6.97,57.5,7.36,60.3,268.15,0,0,0,28.030000001
2012-01-03 05:00:00,6.68,58.8,6.92,61.3,268.15,0,0,0,31.940000001
2012-01-03 06:00:00,6.31,59.1,6.67,62.1,268.15,0,0,0,32.790000000999996
2012-01-03 07:00:00,6.41,51.4,6.93,55.4,269.15,0,0,0,30.910000001
2012-01-03 08:00:00,6.01,49.2,6.56,54.6,270.15,43,128,32,1e-09
2012-01-03 09:00:00,4.19,46.1,4.68,49.1,272.15,180,351,89,1e-09
2012-01-03 10:00:00,2.42,60.1,2.52,60.0,274.15,321,469,135,1e-09
2012-01-03 11:00:00,2.87,82.4,2.91,82.1,275.15,372,325,212,1e-09
2012-01-03 12:00:00,2.81,106.3,2.81,105.1,276.15,314,110,254,1e-09
2012-01-03 13:00:00,3.07,121.7,3.05,120.6,276.15,326,132,255,1e-09
2012-01-03 14:00:00,3.14,133.1,3.14,132.9,276.15,251,76,215,1e-09
2012-01-03 15:00:00,2.63,123.0,2.65,123.5,275.15,311,498,122,1e-09
2012-01-03 16:00:00,2.16,119.9,2.19,120.9,274.15,221,713,53,6.950000001
2012-01-03 17:00:00,2.13,95.9,2.13,98.8,273.15,43,339,22,19.130000001
2012-01-03 18:00:00,2.61,142.6,2.77,148.3,272.15,0,0,0,24.930000001
2012-01-03 19:00:00,3.62,168.5,3.78,169.0,271.15,0,0,0,23.940000001
2012-01-03 20:00:00,3.89,184.5,4.03,184.8,271.15,0,0,0,7.270000001
2012-01-03 21:00:00,4.36,175.2,4.52,175.1,271.15,0,0,0,6.960000001
2012-01-03 22:00:00,4.53,178.0,4.69,178.6,270.15,0,0,0,6.930000001
